date,open,close
2023-09-21,282.05,278.95
2023-09-22,279.2,266.8
2023-09-25,267.65,250.45
2023-09-26,252.55,256.75
2023-09-27,257.0,248.5
2023-09-28,250.0,261.25
2023-09-29,263.45,267.5
2023-10-03,267.5,288.5
2023-10-04,287.5,276.0
2023-10-05,279.5,304.4
2023-10-06,313.05,321.95
2023-10-09,320.0,313.05
2023-10-10,318.0,316.4
2023-10-11,320.0,323.3
2023-10-12,331.8,323.2
2023-10-13,323.0,325.55
2023-10-16,327.0,318.0
2023-10-17,321.8,311.7
2023-10-18,314.0,302.9
2023-10-19,303.0,309.0
2023-10-20,310.8,302.05
2023-10-23,306.05,290.0
2023-10-25,296.1,288.15
2023-10-26,286.95,286.0
2023-10-27,290.25,298.75
2023-10-30,302.0,297.0
2023-10-31,298.7,292.6
2023-11-01,292.6,300.0
2023-11-02,304.7,297.55
2023-11-03,300.0,302.5
2023-11-06,303.55,318.0
2023-11-07,319.65,324.65
2023-11-08,325.2,347.9
2023-11-09,352.75,353.0
2023-11-10,352.05,360.95
2023-11-12,365.0,374.15
2023-11-13,375.6,379.6
2023-11-15,417.45,417.45
2023-11-16,438.3,438.3
2023-11-17,449.0,426.25
2023-11-20,429.4,414.0
2023-11-21,415.95,432.5
2023-11-22,442.8,454.1
2023-11-23,460.0,454.8
2023-11-24,459.9,443.0
2023-11-28,452.0,445.0
2023-11-29,448.0,442.85
2023-11-30,443.0,434.0
2023-12-01,433.4,456.95
2023-12-04,479.7,479.75
2023-12-05,487.6,464.5
2023-12-06,463.9,459.0
2023-12-07,464.0,461.0
2023-12-08,466.95,455.5
2023-12-11,459.95,448.05
2023-12-12,452.0,445.0
2023-12-13,446.2,444.6
2023-12-14,445.0,434.0
2023-12-15,437.0,439.0
2023-12-18,439.0,425.5
2023-12-19,427.05,422.1
2023-12-20,424.0,408.0
