date,open,close
2021-01-04,120.35,120.8
2021-01-05,120.8,121.65
2021-01-06,122.0,119.75
2021-01-07,120.15,118.85
2021-01-08,119.1,123.5
2021-01-11,123.2,122.9
2021-01-12,123.1,121.5
2021-01-13,122.7,120.5
2021-01-14,120.55,119.6
2021-01-15,120.25,118.6
2021-01-18,119.95,120.1
2021-01-19,119.9,117.8
2021-01-20,116.0,116.75
2021-01-21,119.75,116.5
2021-01-22,116.45,115.85
2021-01-25,115.25,113.8
2021-01-27,111.35,117.75
2021-01-28,119.0,118.0
2021-01-29,116.85,117.15
2021-02-01,116.55,115.7
2021-02-02,118.2,115.65
2021-02-03,116.25,116.5
2021-02-04,113.1,114.95
2021-02-05,114.4,114.0
2021-02-08,114.8,114.9
2021-02-09,115.5,115.7
2021-02-10,116.15,116.6
2021-02-11,116.7,114.55
2021-02-12,115.8,118.6
2021-02-15,122.45,124.95
2021-02-16,124.1,119.45
2021-02-17,122.8,124.05
2021-02-18,124.05,121.15
2021-02-19,121.7,121.0
2021-02-22,122.0,120.9
2021-02-23,120.9,120.5
2021-02-24,124.4,121.0
2021-02-25,120.9,119.45
2021-02-26,118.8,115.8
2021-03-01,117.0,119.5
2021-03-02,118.55,117.4
2021-03-03,117.65,118.6
2021-03-04,119.2,117.15
2021-03-05,117.75,116.25
2021-03-08,117.05,116.85
2021-03-09,116.65,115.8
2021-03-10,115.75,117.0
2021-03-12,116.85,116.5
2021-03-15,116.15,115.7
2021-03-16,116.5,122.8
2021-03-17,122.0,116.1
2021-03-18,117.05,113.55
2021-03-19,114.4,112.0
2021-03-22,112.55,113.0
2021-03-23,113.35,116.0
2021-03-24,115.7,116.8
2021-03-25,116.05,113.0
2021-03-26,113.65,113.9
2021-03-30,114.7,113.0
2021-03-31,114.25,112.65
2021-04-01,116.95,114.1
2021-04-05,115.0,113.9
2021-04-06,114.65,114.3
2021-04-07,114.9,115.35
2021-04-08,116.8,114.05
2021-04-09,114.05,114.35
2021-04-12,111.05,111.0
2021-04-13,109.0,118.5
2021-04-15,116.0,119.0
2021-04-16,118.5,114.5
2021-04-19,113.05,117.0
2021-04-20,118.95,117.0
2021-04-22,119.0,114.3
2021-04-23,117.0,116.55
2021-04-26,118.8,116.85
2021-04-27,115.3,116.9
2021-04-28,118.8,117.3
2021-04-29,118.65,115.15
2021-04-30,114.4,116.75
2021-05-03,117.1,126.75
2021-05-04,129.15,124.0
2021-05-05,122.2,125.0
2021-05-06,128.85,150.75
2021-05-07,155.0,140.15
2021-05-10,142.35,135.1
2021-05-11,132.0,133.6
2021-05-12,133.85,131.5
2021-05-14,132.1,129.45
2021-05-17,130.9,128.95
2021-05-18,129.95,131.0
2021-05-19,132.0,139.55
2021-05-20,140.95,137.8
2021-05-21,134.3,135.0
2021-05-24,137.9,133.5
2021-05-25,134.15,135.5
2021-05-26,141.0,136.55
2021-05-27,136.65,134.95
2021-05-28,134.7,137.0
2021-05-31,139.9,135.0
2021-06-01,134.4,139.8
2021-06-02,138.05,136.45
2021-06-03,136.95,135.25
2021-06-04,136.0,134.0
2021-06-07,133.0,134.75
2021-06-08,134.95,136.0
2021-06-09,137.0,141.85
2021-06-10,141.9,143.5
2021-06-11,144.9,142.95
2021-06-14,144.6,145.2
2021-06-15,145.5,141.35
2021-06-16,140.0,143.0
2021-06-17,143.3,140.0
2021-06-18,141.95,140.5
2021-06-21,139.0,141.7
2021-06-22,144.8,139.9
2021-06-23,139.1,142.0
2021-06-24,143.0,163.9
2021-06-25,161.4,153.35
2021-06-28,152.0,145.55
2021-06-29,147.85,157.5
2021-06-30,157.7,153.8
2021-07-01,155.8,152.55
2021-07-02,152.85,156.25
2021-07-05,158.6,157.5
2021-07-06,157.0,154.3
2021-07-07,155.0,154.95
2021-07-08,157.4,153.5
2021-07-09,157.0,156.5
2021-07-12,158.35,160.0
2021-07-13,164.2,166.4
2021-07-14,167.8,165.75
