Stock,Open,Close,Profit,Profit Percent
PRUCOP,970.0,1216.35,246,25.36
CHAINF,550.05,1125.75,575,104.55
NETPEO,129.0,2206.15,2077,1610.08
INDMED,84.5,179.55,95,113.1
RPGLIF,882.0,1363.4,481,54.54
DRCSYS,43.4,41.0,-2,-4.65
ASTPHA,3377.0,5329.1,1952,57.8
AUTAXL,1971.2,2202.65,231,11.72
FIDSOF,64.8,106.1,42,65.62
SPIC,70.3,76.4,6,8.57
KOTPET,72.4,147.55,75,104.17
RATMET,1956.9,3434.9,1478,75.56
MAHGAS,898.75,1194.7,296,32.96
KPRMIL,527.95,833.25,306,58.06
Total Profit,Total Invested Amount
7858,11593
