Stock,Open,Close,Profit,Profit Percent
DRESER,373.5,542.15,169,45.31
CROGRE,278.0,466.7,188,67.63
GLOEDU,234.95,308.75,74,31.62
CHAINF,546.8,1125.75,579,106.04
INDMED,85.95,179.55,94,110.59
RPGLIF,899.3,1363.4,464,51.61
ROLRIN,1910.0,2376.7,466,24.4
NARHRU,757.0,1175.5,418,55.22
AUTAXL,2017.0,2202.65,185,9.17
KPITE,719.0,1539.35,820,114.05
E2ENET,190.75,627.3,437,230.0
RATMET,1962.0,3434.9,1472,75.03
GEEWIR,80.8,94.6,14,17.5
TEGIND,573.0,1088.75,515,89.88
Total Profit,Total Invested Amount
5895,10623
