Stock,Open,Close,Profit,Profit Percent
DRESER,373.5,542.15,169,45.31
GLOEDU,234.95,308.75,74,31.62
JEESIK,274.0,603.65,329,120.07
CHAINF,546.8,1125.75,579,106.04
INDMED,85.95,179.55,94,110.59
RPGLIF,899.3,1363.4,464,51.61
ROLRIN,1910.0,2376.7,466,24.4
THOSCO,40.4,201.45,161,402.5
KPITE,719.0,1539.35,820,114.05
LLOST,12.95,45.8,33,275.0
E2ENET,190.75,627.3,437,230.0
FOSIND,2002.0,3825.85,1823,91.06
GEEWIR,80.8,94.6,14,17.5
ELGEQU,486.5,545.7,59,12.14
TEGIND,573.0,1088.75,515,89.88
Total Profit,Total Invested Amount
6037,8423
