Stock,Open,Close,Profit,Profit Percent
MOLTEK,124.05,269.45,145,116.94
MADBHA,527.05,296.15,-231,-43.83
DRCSYS,42.5,41.0,-1,-2.38
ASTPHA,3410.05,5329.1,1919,56.28
AUTAXL,2020.0,2202.65,182,9.01
NIITEC,3952.6,6290.2,2338,59.16
KPITE,702.6,1539.35,837,119.23
AMILOG,102.95,82.0,-20,-19.61
LLOST,14.95,45.8,31,221.43
JKPAP,414.55,389.25,-25,-6.04
GRINOR,1950.0,2200.9,250,12.82
HAPMIN,941.7,916.65,-25,-2.66
KRIINS,1450.3,1979.5,529,36.48
GESHIP,698.0,1016.15,318,45.56
Total Profit,Total Invested Amount
6247,16346
