Stock,Open,Close,Profit,Profit Percent
INDRAI,733.5,860.9,127,17.33
TCS,3363.0,3824.0,461,13.71
ACCKAL,1597.25,1387.7,-210,-13.15
CRISIL,2865.0,4353.55,1488,51.94
SOLIN,4184.0,6594.9,2410,57.6
NETPEO,129.0,2206.15,2077,1610.08
AUTAXL,1970.0,2202.65,232,11.78
PERSYS,4199.0,7431.35,3232,76.97
SPIC,66.5,76.4,10,15.15
EICMOT,3370.0,4006.05,636,18.87
MAHGAS,886.15,1194.7,308,34.76
CAPPOI,740.7,1405.8,665,89.86
DCINF,131.75,183.1,52,39.69
HGINF,627.0,819.4,192,30.62
METBRA,840.0,1299.6,459,54.64
GULLUB,460.65,711.2,251,54.57
Total Profit,Total Invested Amount
12390,26160
