Stock,Open,Close,Profit,Profit Percent
DRESER,411.3,542.15,131,31.87
INTPAP,447.1,590.85,143,31.99
MOLTEK,125.5,269.45,144,115.2
LTINFO,4379.0,6229.1,1850,42.25
BETDRU,710.0,1489.35,779,109.72
MACIN,984.0,1723.1,739,75.1
RPGLIF,882.0,1363.4,481,54.54
ROLRIN,1892.0,2376.7,484,25.58
LINPEN,429.0,669.6,240,55.94
DRCSYS,42.0,41.0,-1,-2.38
AARIN,171.5,287.55,116,67.84
JKPAP,427.0,389.25,-38,-8.9
EICMOT,3382.0,4006.05,624,18.45
BAAUTO,3627.75,6372.1,2745,75.68
ROTPUM,464.0,417.1,-47,-10.13
EMULIM,312.95,434.85,122,39.1
SATIND,135.4,142.9,7,5.19
Total Profit,Total Invested Amount
8519,18819
