Stock,Open,Close,Profit,Profit Percent
KSOIND,430.8,1232.7,802,186.51
DRESER,385.0,542.15,157,40.78
ESAIND,4163.7,5858.2,1695,40.72
MADBHA,527.05,296.15,-231,-43.83
LIKINF,234.5,281.9,47,20.09
DRCSYS,42.5,41.0,-1,-2.38
ASTPHA,3410.05,5329.1,1919,56.28
AUTAXL,2020.0,2202.65,182,9.01
NIITEC,3952.6,6290.2,2338,59.16
KPITE,702.6,1539.35,837,119.23
LLOST,14.95,45.8,31,221.43
JKPAP,414.55,389.25,-25,-6.04
HAPMIN,941.7,916.65,-25,-2.66
RATMET,1969.0,3434.9,1465,74.4
ALLTEC,494.0,661.35,167,33.81
GESHIP,698.0,1016.15,318,45.56
Total Profit,Total Invested Amount
9676,20395
