Stock,Open,Close,Profit,Profit Percent
COALIN,232.4,363.25,131,56.47
CROGRE,281.0,466.7,185,65.84
INDRAI,724.7,860.9,136,18.78
WESCOA,591.5,727.15,136,23.01
INGRAN,2125.0,3091.7,966,45.46
MADBHA,507.0,296.15,-211,-41.62
SAFIND,1655.0,2063.25,408,24.65
LIKINF,243.95,281.9,38,15.64
APTLIM,323.55,268.85,-55,-17.03
BETDRU,711.0,1489.35,778,109.42
IONEXC,2967.0,602.0,-2365,-79.71
SHAGEA,382.5,522.35,140,36.65
STYIND,1185.4,1754.2,569,48.02
DRCSYS,41.0,41.0,0,0.0
LYCINT,34.6,19.85,-15,-44.12
THOSCO,40.75,201.45,161,402.5
GLELIF,443.3,645.35,202,45.6
SPIC,66.0,76.4,10,15.15
DRREDD,4451.0,5627.7,1176,26.42
HGINF,587.5,819.4,232,39.52
COALIN,232.4,363.25,131,56.47
CROGRE,281.0,466.7,185,65.84
INDRAI,724.7,860.9,136,18.78
WESCOA,591.5,727.15,136,23.01
INGRAN,2125.0,3091.7,966,45.46
MADBHA,507.0,296.15,-211,-41.62
SAFIND,1655.0,2063.25,408,24.65
LIKINF,243.95,281.9,38,15.64
APTLIM,323.55,268.85,-55,-17.03
BETDRU,711.0,1489.35,778,109.42
IONEXC,2967.0,602.0,-2365,-79.71
SHAGEA,382.5,522.35,140,36.65
STYIND,1185.4,1754.2,569,48.02
DRCSYS,41.0,41.0,0,0.0
LYCINT,34.6,19.85,-15,-44.12
THOSCO,40.75,201.45,161,402.5
GLELIF,443.3,645.35,202,45.6
SPIC,66.0,76.4,10,15.15
DRREDD,4451.0,5627.7,1176,26.42
HGINF,587.5,819.4,232,39.52
AIAENG,2779.8,3574.3,795,28.61
ALLTEC,505.0,661.35,156,30.89
RAICHI,767.0,1117.7,350,45.63
CREPER,589.7,740.35,151,25.64
GESHIP,687.1,1016.15,329,47.89
Total Profit,Total Invested Amount
4403,22915
