Stock,Open,Close,Profit,Profit Percent
PHADIG,453.7,520.3,67,14.79
CROGRE,465.2,466.7,1,0.22
EASTRI,40.15,38.5,-2,-5.0
NETPEO,2275.0,2206.15,-69,-3.03
KPITE,1479.0,1539.35,60,4.06
GEEWIR,87.4,94.6,7,8.05
CUMIND,1964.5,2013.15,49,2.49
YATHOS,390.85,380.35,-10,-2.56
KEWKIR,768.1,771.6,3,0.39
INNTHI,598.5,521.0,-77,-12.88
AIAENG,3675.0,3574.3,-101,-2.75
BLUSTA,1005.0,951.25,-54,-5.37
RAICHI,1103.0,1117.7,14,1.27
AGAFLO,60.9,58.0,-2,-3.33
CREPER,758.0,740.35,-18,-2.37
GULLUB,672.0,711.2,39,5.8
Total Profit,Total Invested Amount
-93,15792
