Stock,Open,Close,Profit,Profit Percent
TIPIND,367.9,351.35,-16,-4.36
PHADIG,441.0,520.3,79,17.91
INDRAI,874.45,860.9,-14,-1.6
WESCOA,704.1,727.15,23,3.27
JEESIK,630.0,603.65,-27,-4.29
SKPBEA,213.15,206.55,-7,-3.29
MOTSU,61.6,61.45,0,0.0
STECAS,624.75,619.85,-5,-0.8
SHIBIM,547.0,536.35,-11,-2.01
LIKINF,290.0,281.9,-9,-3.1
SOLIN,6850.0,6594.9,-256,-3.74
IONEXC,597.5,602.0,5,0.84
GOACAR,544.95,557.65,13,2.39
GRAVIN,1077.0,1047.65,-30,-2.79
BLSINT,306.0,309.85,3,0.98
NETSTO,468.05,444.05,-24,-5.13
VARBEV,1140.0,1238.6,98,8.6
BANPRO,597.25,618.75,21,3.52
ALLTEC,680.0,661.35,-19,-2.79
SHRPIS,1051.05,1277.45,226,21.5
METBRA,1320.0,1299.6,-21,-1.59
Total Profit,Total Invested Amount
29,19381
